#data counter
0.137255 1
0.019608 2
0.019608 3
0.117647 4
0.039216 5
0.019608 6
0.019608 7
0.392157 8
0.019608 9
0.117647 10
0.000000 11
0.019608 12
0.039216 13
0.019608 14
0.019608 15
0.098039 16
0.039216 17
0.058824 18
0.039216 19
0.058824 20
0.000000 21
0.137255 22
0.098039 23
0.039216 24
0.078431 25
0.078431 26
0.078431 27
0.196078 28
0.039216 29
0.039216 30
0.019608 31
0.000000 32
0.019608 33
0.058824 34
0.156863 35
0.078431 36
0.098039 37
0.058824 38
0.058824 39
0.019608 40
0.156863 41
0.156863 42
0.019608 43
0.019608 44
0.058824 45
0.039216 46
0.039216 47
0.019608 48
0.039216 49
0.058824 50
