#data counter
6.039216 1
0.980392 2
0.980392 3
5.294118 4
1.921569 5
0.980392 6
0.980392 7
24.156863 8
0.980392 9
5.294118 10
0.000000 11
0.980392 12
1.921569 13
0.980392 14
0.980392 15
4.509804 16
1.921569 17
2.823529 18
1.921569 19
2.823529 20
0.000000 21
6.039216 22
4.509804 23
1.921569 24
3.686275 25
3.686275 26
3.686275 27
8.039216 28
1.921569 29
1.921569 30
0.980392 31
0.000000 32
0.980392 33
2.823529 34
6.745098 35
3.686275 36
4.509804 37
2.823529 38
2.823529 39
0.980392 40
6.745098 41
6.745098 42
0.980392 43
0.980392 44
2.823529 45
1.921569 46
1.921569 47
0.980392 48
1.921569 49
2.823529 50
