#data counter
0.347540 1
0.140028 2
0.140028 3
0.325396 4
0.196039 5
0.140028 6
0.140028 7
0.695081 8
0.140028 9
0.325396 10
0.000000 11
0.140028 12
0.196039 13
0.140028 14
0.140028 15
0.300327 16
0.196039 17
0.237635 18
0.196039 19
0.237635 20
0.000000 21
0.347540 22
0.300327 23
0.196039 24
0.271524 25
0.271524 26
0.271524 27
0.400979 28
0.196039 29
0.196039 30
0.140028 31
0.000000 32
0.140028 33
0.237635 34
0.367290 35
0.271524 36
0.300327 37
0.237635 38
0.237635 39
0.140028 40
0.367290 41
0.367290 42
0.140028 43
0.140028 44
0.237635 45
0.196039 46
0.196039 47
0.140028 48
0.196039 49
0.237635 50
