#data counter
0.120784 1
0.019608 2
0.019608 3
0.105882 4
0.038431 5
0.019608 6
0.019608 7
0.483137 8
0.019608 9
0.105882 10
0.000000 11
0.019608 12
0.038431 13
0.019608 14
0.019608 15
0.090196 16
0.038431 17
0.056471 18
0.038431 19
0.056471 20
0.000000 21
0.120784 22
0.090196 23
0.038431 24
0.073725 25
0.073725 26
0.073725 27
0.160784 28
0.038431 29
0.038431 30
0.019608 31
0.000000 32
0.019608 33
0.056471 34
0.134902 35
0.073725 36
0.090196 37
0.056471 38
0.056471 39
0.019608 40
0.134902 41
0.134902 42
0.019608 43
0.019608 44
0.056471 45
0.038431 46
0.038431 47
0.019608 48
0.038431 49
0.056471 50
